,api,top,numOfImgs,numOfObjs,Precision_Macro,Recall_Macro,F1_Macro,Precision_Micro,Recall_Micro,F1_Micro
1,1000new_img_4_clarifai,1,823,241,0.166227452,0.074937156,0.09051361,0.862944162,0.05258274,0.099125364
1,1000new_img_4_clarifai,3,823,241,0.252724525,0.157141178,0.17161062,0.782688766,0.131456851,0.225105932
1,1000new_img_4_clarifai,5,823,241,0.268220736,0.189016558,0.199411096,0.728624535,0.18187442,0.291089109
2,1000new_img_7_googlevision,1,996,263,0.278132982,0.118007478,0.145259571,0.896414343,0.057354066,0.107810254
2,1000new_img_7_googlevision,3,996,263,0.41345597,0.238343482,0.27857179,0.853435115,0.14249299,0.244211446
2,1000new_img_7_googlevision,5,996,263,0.500649416,0.326585864,0.367072808,0.816017316,0.192199847,0.311120281
3,1000new_img_2_ibmwatson,1,871,250,0.105769264,0.036182637,0.044575277,0.8203125,0.030846063,0.059456399
3,1000new_img_2_ibmwatson,3,871,250,0.21486933,0.114185672,0.13472033,0.768253968,0.142185664,0.239960337
3,1000new_img_2_ibmwatson,5,871,250,0.239289853,0.159007495,0.175056775,0.717974181,0.21239718,0.327816822
4,1000new_img_1_imagga,1,914,253,0.206519724,0.104127701,0.119630543,0.786561265,0.055247085,0.103242542
4,1000new_img_1_imagga,3,914,253,0.294872914,0.187850269,0.20404071,0.747720365,0.136590783,0.230985915
4,1000new_img_1_imagga,5,914,253,0.318177314,0.244608934,0.250750479,0.714565005,0.20294281,0.316108108
5,1000new_img_5_microsoft_oxford,1,833,254,0.242466459,0.115671167,0.141730662,0.867394696,0.155524476,0.263757116
5,1000new_img_5_microsoft_oxford,3,833,254,0.292929376,0.179833862,0.195693791,0.762552301,0.203916084,0.321783271
5,1000new_img_5_microsoft_oxford,5,833,254,0.315207423,0.213339162,0.223655084,0.713541667,0.22993007,0.347789296
6,1000new_img_6_wolfram,1,1000,263,0.094423321,0.072319188,0.0695093,0.785714286,0.047473978,0.089537946
6,1000new_img_6_wolfram,3,1000,263,0.202645077,0.136675679,0.132918975,0.652173913,0.087585682,0.154431513
6,1000new_img_6_wolfram,5,1000,263,0.209278456,0.173595584,0.150708036,0.557831325,0.117542523,0.194170686
7,1000new_img_9_deepdetect,1,917,253,0.059147374,0.053783173,0.051722191,0.393939394,0.007204212,0.01414966
7,1000new_img_9_deepdetect,3,917,253,0.046949449,0.093308865,0.054361601,0.272251309,0.014408423,0.027368421
7,1000new_img_9_deepdetect,5,917,253,0.040871126,0.106719368,0.051788431,0.208053691,0.017179274,0.031737906
8,1000new_img_12_InceptionResNetV2,1,1000,263,0.093976936,0.108037236,0.092277748,0.504672897,0.013709063,0.02669303
8,1000new_img_12_InceptionResNetV2,3,1000,263,0.073823576,0.153129234,0.090803094,0.30141844,0.021579081,0.040274816
8,1000new_img_12_InceptionResNetV2,5,1000,263,0.055275608,0.162833792,0.074037133,0.209821429,0.023863925,0.042853886
9,1000new_img_11_tensorflow,1,1000,263,0.081939163,0.106824439,0.085364291,0.429752066,0.01320132,0.025615764
9,1000new_img_11_tensorflow,3,1000,263,0.073865076,0.152364407,0.088704659,0.286206897,0.021071338,0.039252778
9,1000new_img_11_tensorflow,5,1000,263,0.056493321,0.165400332,0.074350313,0.205752212,0.023610053,0.042359371
10,1000new_img_13_mobilenet_v2,1,1000,263,0.072760066,0.092565884,0.07398571,0.411214953,0.011170348,0.021749876
10,1000new_img_13_mobilenet_v2,3,1000,263,0.058601812,0.135734889,0.072705003,0.261818182,0.018278751,0.034171808
10,1000new_img_13_mobilenet_v2,5,1000,263,0.041050681,0.152604781,0.058760105,0.179824561,0.020817466,0.037315131
11,1000new_img_17_resnet_imgnet,1,1000,263,0.070912548,0.091008916,0.07361884,0.431372549,0.011170348,0.021776788
11,1000new_img_17_resnet_imgnet,3,1000,263,0.057551773,0.123743499,0.071073354,0.243902439,0.017771008,0.033128254
11,1000new_img_17_resnet_imgnet,5,1000,263,0.041848205,0.146950527,0.059168023,0.178111588,0.021071338,0.037684449
12,1000new_img_15_resnet_coco,1,891,262,0.052381789,0.075105794,0.056117981,0.708974359,0.147702991,0.244473917
12,1000new_img_15_resnet_coco,3,891,262,0.035883816,0.116973501,0.049478756,0.512118843,0.174946581,0.260800319
12,1000new_img_15_resnet_coco,5,891,262,0.030662144,0.134952083,0.044723001,0.412121212,0.181623932,0.252131999
13,1000new_img_18_vgg19,1,1000,263,0.074255909,0.090402517,0.07181762,0.392523364,0.010662605,0.020761246
13,1000new_img_18_vgg19,3,1000,263,0.056713512,0.121068791,0.068994439,0.227586207,0.016755522,0.031213053
13,1000new_img_18_vgg19,5,1000,263,0.044545059,0.133262314,0.058705318,0.17218543,0.01980198,0.035519126
14,1000new_img_14_yolo_v3,1,1000,263,0.072089444,0.095472226,0.075716468,0.510869565,0.011931962,0.023319276
14,1000new_img_14_yolo_v3,3,1000,263,0.051534902,0.11682728,0.065193074,0.264,0.016755522,0.031511101
14,1000new_img_14_yolo_v3,5,1000,263,0.038416858,0.128152179,0.052819755,0.188118812,0.019294237,0.034998849
15,1000new_img_16_yolo_v3_coco,1,844,255,0.059877127,0.075109405,0.057662842,0.760526316,0.158529896,0.262369496
15,1000new_img_16_yolo_v3_coco,3,844,255,0.054369036,0.124365506,0.066752027,0.585344057,0.17964893,0.274921301
15,1000new_img_16_yolo_v3_coco,5,844,255,0.052019339,0.139154096,0.065406881,0.521604938,0.185408667,0.273573452
